251.110905627,65.950847436,16.452400000
251.016913128,-31.770528848,16.452400000
153.645811777,-31.680838766,16.452400000
153.741641739,66.041651358,16.452400000
251.111987412,65.951519309,16.452400000
251.016912300,-31.770743219,16.452400000
153.646393019,-31.680849112,16.452400000
153.741985642,66.041680120,16.452400000
251.111415275,65.951364946,16.452400000
251.017218543,-31.770973936,16.452400000
153.647233534,-31.680764481,16.452400000
153.742156352,66.041623010,16.452400000
251.112875726,65.951176855,16.452400000
251.017618936,-31.771097675,16.452400000
153.646612770,-31.681050446,16.452400000
153.742404451,66.041217444,16.452400000
251.112098322,65.950891096,16.452400000
251.017184195,-31.771062705,16.452400000
153.648001005,-31.680986301,16.452400000
153.742835055,66.041269795,16.452400000
