195.661198025,65.039292684,16.452400000
195.593074802,-32.729339331,16.452400000
99.593755999,-30.912175625,16.452400000
98.964688450,65.103212159,16.452400000
195.662280431,65.039650658,16.452400000
195.593334902,-32.728785817,16.452400000
99.934326668,-30.839191866,16.452400000
98.964738525,65.103244438,16.452400000
195.661395428,65.039696388,16.452400000
195.593185712,-32.728863619,16.452400000
99.927434530,-30.486291094,16.452400000
98.964939653,65.103405630,16.452400000
195.662543221,65.039864822,16.452400000
195.593137499,-32.728809406,16.452400000
99.909107503,-30.988371477,16.452400000
98.965050562,65.103442255,16.452400000
195.661286173,65.039877237,16.452400000
195.593421809,-32.728676976,16.452400000
99.927815680,-30.838638842,16.452400000
98.964925996,65.103449704,16.452400000
